000000	1.017000e+02	1.015491e+01
4.000000e-03	9.830000e+01	6.717308e+00
8.000000e-03	9.740000e+01	9.070097e+00
1.200000e-02	9.590000e+01	5.586691e+00
1.600000e-02	8.960000e+01	8.248906e+00
2.000000e-02	9.010000e+01	8.837420e+00
2.400000e-02	8.650000e+01	7.090682e+00
2.800000e-02	8.160000e+01	6.077280e+00
3.200000e-02	7.870000e+01	6.783149e+00
3.600000e-02	7.580000e+01	6.494442e+00
4.000000e-02	000074	6.976150e+00
4.400000e-02	7.380000e+01	1.092195e+01
4.800000e-02	6.640000e+01	6.785606e+00
5.200000e-02	7.090000e+01	5.506562e+00
5.600000e-02	6.760000e+01	6.586181e+00
6.000000e-02	6.070000e+01	3.465705e+00
6.400000e-02	5.950000e+01	6.150881e+00
6.800000e-02	6.030000e+01	5.963780e+00
7.200000e-02	5.740000e+01	7.805981e+00
7.600000e-02	5.750000e+01	5.816643e+00
8.000000e-02	5.080000e+01	4.131182e+00
8.400000e-02	5.170000e+01	5.926400e+00
8.800000e-02	000051	9.695360e+00
9.200000e-02	4.890000e+01	5.685264e+00
9.600000e-02	4.290000e+01	6.008328e+00
1.000000e-01	4.620000e+01	4.516636e+00
